@RELATION touch

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{Navid,Others}

@DATA
1.0,0.019607844,5.25,4.75,106,0,33.82134,1,1,Others
1.0,0.019934641,5.3333335,4.8333335,88,79,110.49398,1,1,Others
1.0,0.019607844,5.2222223,4.7777777,259,39,18.58653,1,1,Others
1.0,0.02009804,5.25,5.0,128,1157,63.033524,1,1,Others
1.0,0.016470589,4.4,4.0,92,46,10.392666,1,1,Others
1.0,0.014509805,4.0,3.4,97,59,105.522285,1,1,Others
1.0,0.018300654,5.0,4.3333335,77,194,71.95667,1,1,Others
1.0,0.018627452,5.25,4.25,86,72,191.70477,1,1,Others
1.0,0.017156864,4.75,4.0,94,52,155.73904,1,1,Others
1.0,0.018039215,5.0,4.2,166,17,55.36799,1,1,Others
1.0,0.015686275,4.3333335,3.6666667,52,1493,30.371803,1,1,Others
1.0,0.012418301,3.3333333,3.0,60,78,168.21019,1,1,Others
1.0,0.015686275,4.1666665,3.8333333,86,87,99.0539,1,1,Others
1.0,0.016666668,4.5,4.0,97,63,81.89193,1,1,Others
1.0,0.020261439,5.3333335,5.0,118,0,30.353994,1,2,Others
1.0,0.016993465,4.6666665,4.0,111,121,60.12403,1,2,Others
1.0,0.016993465,4.6666665,4.0,73,305,49.331398,1,2,Others
1.0,0.01895425,5.0,4.6666665,77,219,14.680845,1,2,Others
1.0,0.01882353,5.2,4.4,130,1601,69.54795,1,2,Others
1.0,0.019607844,5.3333335,4.6666665,114,113,72.05963,1,2,Others
1.0,0.01764706,4.8,4.2,110,915,2.1335297,1,2,Others
1.0,0.016078431,4.6,3.6,119,31,138.07178,1,2,Others
1.0,0.014705883,4.0,3.5,78,0,46.21679,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,107,155,48.059875,1,2,Others
1.0,0.01764706,5.0,4.0,96,869,5.5201707,1,2,Others
1.0,0.01633987,4.6666665,3.6666667,68,465,12.915957,1,2,Others
1.0,0.014705883,4.0,3.5,97,71,60.626575,1,2,Others
1.0,0.015294118,4.2,3.6,112,41,192.08772,1,2,Others
1.0,0.014901961,4.0,3.6,74,75,1.0052062,1,2,Others
1.0,0.015294118,4.4,3.4,106,598,64.651375,1,2,Others
1.0,0.018137256,5.0,4.25,98,0,138.06152,1,1,Others
1.0,0.017254902,4.8,4.0,152,95,42.137936,1,1,Others
1.0,0.02,5.4,4.8,130,106,151.81168,1,1,Others
1.0,0.019607844,5.1666665,4.8333335,108,88,41.47479,1,1,Others
1.0,0.018300654,5.0,4.3333335,102,895,153.48161,1,1,Others
1.0,0.01372549,4.0,3.0,78,253,54.148083,1,1,Others
1.0,0.015686275,4.142857,3.857143,188,425,48.383926,1,1,Others
1.0,0.023579054,6.493671,5.531646,1335,0,49.307117,1,1,Others
1.0,0.015359477,4.5,3.3333333,95,952,27.963737,1,1,Others
1.0,0.016666668,4.5,4.0,96,776,74.018875,1,1,Others
1.0,0.015686275,4.4,3.6,97,276,15.486332,1,1,Others
1.0,0.013071896,3.6666667,3.0,90,982,118.094925,1,1,Others
1.0,0.015196079,4.25,3.5,81,68,144.59442,1,1,Others
1.0,0.015686275,4.25,3.75,117,213,37.45638,1,1,Others
1.0,0.01633987,4.3333335,4.0,82,90,110.49135,1,1,Others
1.0,0.016666668,4.25,4.25,69,173,51.788864,1,1,Others
1.0,0.014215687,3.75,3.5,90,1092,135.57434,1,1,Others
1.0,0.014705883,4.0,3.5,96,96,70.5869,1,1,Others
1.0,0.014705883,4.25,3.25,97,114,277.7891,1,1,Others
1.0,0.01633987,4.3333335,4.0,40,71,37.870735,1,1,Others
1.0,0.01764706,4.75,4.25,129,0,78.40364,1,1,Others
1.0,0.014705883,4.0,3.5,81,44,171.3058,1,1,Others
1.0,0.018137256,4.75,4.5,83,73,164.01474,1,1,Others
1.0,0.017156864,4.5,4.25,63,89,181.14554,1,1,Others
1.0,0.015686275,4.25,3.75,105,1999,50.149178,1,1,Others
1.0,0.015686275,4.25,3.75,54,162,41.957687,1,1,Others
1.0,0.013071896,3.3333333,3.3333333,77,82,13.532967,1,1,Others
